Designator,Mid X,Mid Y,Rotation,Layer
BT1,73.284,70.485,270.0,top
C1,28.448,65.024,270.0,top
C2,14.224,78.232,0.0,top
C4,27.432,69.596,180.0,top
DS1,81.2025,98.855,270.0,top
DS2,49.784,64.008,0.0,top
J1,19.12,60.198,0.0,top
J2,22.606,33.528,0.0,top
J5,58.166,4.064,270.0,top
R1,69.85,14.224,0.0,top
R2,69.866,16.51,0.0,top
SW1,11.938,8.255,0.0,top
SW2,2.3295,70.739,270.0,top
SW3,59.488,31.206,0.0,top
SW4,69.469,31.242,0.0,top
SW5,59.488,22.57,0.0,top
SW6,59.488,14.061,0.0,top
U1,86.36,48.895,90.0,top
U2,2.54,14.351,90.0,top
U3,82.296,10.414,0.0,top
U4,11.78,99.215,270.0,top
U6,27.9566,71.9822,90.0,top
U7,31.0601,63.7412,90.0,top
